season,team,home_runs,ops,runs_scored
2015,삼성,176,0.847,897
2015,넥센,203,0.858,904
2015,두산,140,0.805,807
2015,NC,161,0.822,844
2015,롯데,177,0.802,765
2015,KT,129,0.747,670
2015,SK,145,0.759,693
2015,한화,130,0.764,717
2015,LG,114,0.738,653
2015,KIA,136,0.718,648
2016,두산,183,0.851,935
2016,넥센,134,0.808,813
2016,삼성,142,0.806,852
2016,SK,182,0.810,753
2016,NC,169,0.825,857
2016,LG,118,0.778,786
2016,한화,142,0.793,826
2016,롯데,127,0.792,777
2016,KIA,170,0.810,803
2016,KT,116,0.739,672
2017,KIA,170,0.839,906
2017,두산,178,0.828,849
2017,NC,149,0.808,786
2017,넥센,141,0.794,789
2017,한화,150,0.785,737
2017,롯데,151,0.789,743
2017,LG,110,0.748,699
2017,삼성,145,0.768,757
2017,KT,119,0.742,655
2017,SK,234,0.806,761
2018,두산,191,0.862,944
2018,KIA,170,0.824,865
2018,LG,148,0.798,788
2018,롯데,203,0.827,821
2018,넥센,165,0.803,825
2018,삼성,146,0.787,776
2018,SK,233,0.829,829
2018,한화,151,0.763,729
2018,KT,206,0.796,757
2018,NC,143,0.733,660
2019,키움,112,0.768,780
2019,NC,128,0.761,674
2019,두산,84,0.744,736
2019,KT,103,0.729,650
2019,LG,94,0.711,641
2019,KIA,76,0.705,605
2019,SK,117,0.718,655
2019,한화,88,0.686,607
2019,삼성,122,0.718,622
2019,롯데,90,0.674,578
