year_month,avg_temp_c,avg_wind_speed_ms,pm10_ug_m3
201501,-0.9,2.6,49
201502,1,2.9,84
201503,6.3,3.1,71
201504,13.3,3.1,45
201505,18.9,3,45
201506,23.6,2.5,35
201507,25.8,2.8,30
201508,26.3,2.4,34
201509,22.4,2.3,28
201510,15.5,2.3,44
201511,8.9,2.7,33
201512,1.6,2.3,48
201601,-3.2,2.5,50
201602,0.2,2.8,45
201603,7,2.4,64
201604,14.1,2.4,71
201605,19.6,2.4,56
201606,23.6,2.1,46
201607,26.2,2.1,33
201608,28,2.1,34
201609,23.1,2,37
201610,16.1,2.1,38
201611,6.8,2.2,52
201612,1.2,2.2,48
201701,-1.8,2.3,53
201702,-0.2,2.4,46
201703,6.3,2.4,60
201704,13.9,2.6,56
201705,19.5,2.4,63
201706,23.3,2.4,41
201707,26.9,2,33
201708,25.9,2.3,21
201709,22.1,2,32
201710,16.4,1.9,29
201711,5.6,2.1,42
201712,-1.9,1.8,50
201801,-4,1.9,52
201802,-1.6,2.2,53
201803,8.1,1.9,52
201804,13,2,52
201805,18.2,1.7,42
201806,23.1,1.7,37
201807,27.8,1.5,24
201808,28.8,1.7,22
201809,21.5,1.6,20
201810,13.1,1.5,28
201811,7.8,1.4,52
201812,-0.6,1.8,43
201901,-0.9,1.8,66
201902,1,1.8,57
201903,7.1,2.1,69
201904,12.1,1.9,41
201905,19.4,2.1,52
201906,22.5,1.7,29
201907,25.9,1.8,26
201908,27.2,1.6,25
201909,22.6,2.2,21
201910,16.4,2.1,31
201911,7.6,2.2,40
201912,1.4,2.1,42
202001,1.6,2.1,42
202002,2.5,2.3,41
202003,7.7,2.5,45
202004,11.1,3,44
202005,18,2.4,35
202006,23.9,2.3,36
202007,24.1,2.4,21
202008,26.5,2.3,23
202009,21.4,2.5,19
202010,14.3,2.1,33
202011,8,2.2,42
202012,-0.3,2.2,42
202101,-2.4,2.5,38
202102,2.7,2.6,48
202103,9,2.4,67
202104,14.2,2.6,42
202105,17.1,2.4,61
202106,22.8,2.2,33
202107,28.1,2,24
202108,25.9,2.1,22
202109,22.6,2.3,15
202110,15.6,2.1,27
202111,8.2,2.1,45
202112,0.6,2.3,39
202201,-2.2,2.2,43
202202,-1.1,2.6,40
202203,7.7,2.5,41
202204,14.8,2.7,45
202205,19.1,2.6,33
202206,23.3,2.5,22
202207,27.3,2.1,25
202208,25.7,2.3,20
202209,22.4,2.4,22
202210,14.6,2.2,25
202211,10,2.1,39
202212,-2.8,2.3,38
202301,-1.5,2.4,48
202302,2.3,2.3,46
202303,9.8,2.3,68
202304,13.8,2.5,63
202305,19.5,2.3,38
202306,23.4,2.2,28
202307,26.7,2.1,26
202308,27.2,2.2,21
202309,23.7,2,20
202310,15.8,1.9,28
202311,6.8,2.6,30
202312,1.1,2.4,36
202401,-0.5,2.3,36
202402,3.8,2.5,33
202403,7,2.7,49
202404,16.3,2.4,50
202405,18.5,2.4,30
202406,24.6,2.2,31
202407,26.6,2.5,20
202408,29.3,2.1,24
202409,25.5,2.3,16
202410,16.7,2,23
202411,9.7,2,29
202412,0.8,2.2,34
